"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Canar - Canar - Ducur";5;36,4;0,8;0,2;0,4;0;0,6;"Operativos Regulares frecuentes"
"Canar - La Troncal - La Troncal";47;37,3;0,85;0,15;0,3;0,36;0,32;"Operativos de Transito SemiConstantes"
"Canar - La Troncal - Manuel J. Calle";5;35,8;1;0;0,6;0,2;0,2;"Operativos Regulares frecuentes"
"Canar - La Troncal - Pancho Negro";5;34;1;0;0,6;0,4;0;"Operativos Regulares frecuentes"
"Canar - El Tambo - El Tambo";13;51,62;0,62;0,38;0,23;0,54;0,23;"Operativos Regulares frecuentes"
"Canar - El Deleg - Solano";1;18;0;1;1;0;0;"Operativos Regulares frecuentes"
"Canar - Suscal - Suscal";7;24,14;0,43;0,57;0;1;0;"Operativos Regulares frecuentes"
"Carchi - Tulcan - Gonzalez Suarez";10;34,8;0,9;0,1;0,5;0,1;0,4;"Operativos Regulares frecuentes"
"Canar - Tulcan - Tulcan";7;61,57;0,86;0,14;0,43;0;0,57;"Operativos Regulares frecuentes"
"Carchi - Tulcan - Tulcan";9;27;0,56;0,44;0,11;0,78;0,11;"Operativos Regulares frecuentes"
"Carchi - Tulcan - El Carmelo (El Pun)";1;49;1;0;0;1;0;"Operativos Regulares frecuentes"
"Carchi - Tulcan - Julio Andrade (Orejuela)";6;47,83;0,83;0,17;0,5;0,33;0,17;"Operativos Regulares frecuentes"
"Canar - Tulcan - Maldonado";2;21,5;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Tulcan - Tufino";1;46;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Tulcan - El Chical";1;21;1;0;1;0;0;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Bolivar";18;43,64;0,67;0,33;0,11;0,17;0,72;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Garcia Moreno";1;17;1;0;1;0;0;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Los Andes";2;37,5;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Carchi - Bolivar - Monte Olivo";2;62,5;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Carchi - Bolivar - San Rafael";1;68;1;0;0;1;0;"Operativos Regulares frecuentes"
"Carchi - Espejo - El Angel";2;21;1;0;0,5;0,5;0;"Operativos Regulares frecuentes"
"Carchi - Espejo - La Libertad(Alizo)";1;35;1;0;1;0;0;"Operativos Regulares frecuentes"
"Carchi - Espejo - San Isidro";2;58,5;0,5;0,5;0,5;0,5;0;"Operativos Regulares frecuentes"
"Carchi - Mira - Mira (Chontahuasi)";5;48,6;0,8;0,2;0,4;0,2;0,4;"Operativos Regulares frecuentes"
"Carchi - Mira - Jijon y Caamano(Cab. En Rio Blanco)";1;61;1;0;0;0;1;"Operativos Regulares frecuentes"
"Carchi - Mira - Juan Montalvo(San Ignacio de Quil)";2;43,5;1;0;0;0;1;"Operativos Regulares frecuentes"
"Carchi - Montufar - Gonzalez Suarez";5;51,4;0,8;0,2;0,6;0;0,2;"Operativos Regulares frecuentes"
"Carchi - Montufar - San Jose";4;24,5;0,75;0,25;0;0,75;0,25;"Operativos Regulares frecuentes"
"Carchi - Montufar - San Gabriel";6;56,67;0,5;0,5;0,5;0,17;0,33;"Operativos Regulares frecuentes"
"Carchi - Montufar - Cristobal Colon";1;50;1;0;0;0;1;"Operativos Regulares frecuentes"
"Carchi - Montufar - La Paz";2;38,5;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Carchi - San Pedro De Huaca - Huaca";5;33,8;1;0;0,2;0,4;0,4;"Operativos Regulares frecuentes"
"Carchi - San Pedro de Huaca - Mariscal Sucre";2;33,5;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
