"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Canar - Azogues - Borrero";3;59;1;0;0,67;0,33;0;"Operativos Regulares frecuentes"
"Canar - Azogues - Azogues";19;47;0,63;0,37;0,37;0,32;0,32;"Operativos Regulares frecuentes"
"Canar - Azogues - Cojitambo";3;30;0,33;0,67;0;0,67;0,33;"Operativos Regulares frecuentes"
"Canar - Azogues - Guapan";2;75;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Azogues - Javier Loyola (Chuquipata)";9;23;0,78;0,22;0,33;0,44;0,22;"Operativos Regulares frecuentes"
"Canar - Azogues - Luis Cordero";1;17;1;0;0;1;0;"Operativos Regulares frecuentes"
"Canar - Biblian - Biblian";15;44;0,8;0,2;0,2;0,53;0,27;"Operativos Regulares frecuentes"
"Canar - Biblian - Nazon (Cab. En Pampa De Dominguez)";2;28;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Canar - Biblian - San Francisco de Sageo";2;15;0,5;0,5;0;0;1;"Operativos Regulares frecuentes"
"Canar - Canar - Canar";15;45;0,53;0,47;0,67;0,13;0,13;"Operativos Regulares frecuentes"
"Canar - Canar - Chorocopte";1;49;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Canar - Honorato Vasquez (Tambo Viejo)";7;30;0,14;0,86;0;0,86;0,14;"Operativos Regulares frecuentes"
"Canar - Canar - Ingapirca";6;43;0,67;0,33;0,33;0,5;0,17;"Operativos Regulares frecuentes"
"Canar - Canar - Juncal";6;32;0,83;0,17;0,17;0;0,83;"Operativos Regulares frecuentes"
"Canar - Canar - San Antonio";2;41;1;0;0;1;0;"Operativos Regulares frecuentes"
"Canar - Canar - Zhud";3;61;0,67;0,33;0,67;0,33;0;"Operativos Regulares frecuentes"
"Canar - Canar - Ventura";1;4;1;0;0;1;0;"Operativos Regulares frecuentes"
